objectid,filename,image_thumb,title,publisher,creator,contributor,date,description,type,format,genre,medium,subject,location,latitude,longitude,language,is_part_of,collection,source,object_thumb,object_location,reference_url,rights,rightsstatement
1001,loring_prosthetic.png,,,The American Civil War Museum,unknown,,,"Cdv studio portrait of a man, standing, full length, right forearm resting on vase atop the end of a balustrade in front of pillar to right, holding glove in right hand, left arm held at 90 degrees at waist [left arm artificial limb] chair with top hat to right, painted backdrop and patterned floor, drape; wearing civilian clothing, including waistcoat with watch chain and double breasted frock coat; handwritten on obverse, ""Genl Loring""; handwritten on reverse, ""Genl. Loring C. S. Army"" and ""Genl. Loring of Fla."" piece[s] of string threaded through holes at top of image;",,image/png,carte-de-visite,photograph,William Wing Loring,,,,,,,,,,https://acwm.pastperfectonline.com/Photo/BCFFD520-A474-4D65-BC49-944899176421,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
1002,loring_egypt.png,,"Loring Pacha, Fereek and General",Dodd & Mead Company,,,1884,plate print of William Wing Loring wearing an Egyptian military uniform and fez. His left arm is pinned with a star pin to his breast. He is seated,,image/png,,,William Wing Loring,"Cairo, Egypt",30.033333,31.233334,,,,,,,https://books.google.com/books?id=NSkqDwAAQBAJ&pg=PA1&source=gbs_toc_r&cad=2#v=onepage&q&f=false,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
1003,A_Confederate_Soldier_in_Egypt.pdf,acsie_th.jpg,A Confederate Soldier in Egypt,Dodd & Mead Company,William Wing Loring,,1884,book by William Wing Loring that details his ten years in the Egyptian miltary,,application/pdf,memoir,book,"William Wing Loring, Egypt",New York,40.73061,-73.935242,eng,,,,,,https://books.google.com/books?id=NSkqDwAAQBAJ&pg=PA1&source=gbs_toc_r&cad=2#v=onepage&q&f=false,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
1004,loring_account_book.pdf,loring_account_book.jpg,Account Book of William Wing Loring,,William Wing Loring,,1870,"The unpublished account book of William Wing Loring, with entries from June through October 1870. Includes descriptions of places Loring traveled to as well as his comments on the Egyptian troops of the Khedive.",,application/pdf,account book,book,William Wing Loring,University of Florida,,,eng,,,,,,https://findingaids.uflib.ufl.edu/repositories/2/resources/239,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
1005,loring_grant.jpg,,,,unknown,,1878,William Wing Loring poses with Ulysses S. Grant at the Pyramids of Giza,,image/jpg,,photograph,"William Wing Loring, Ulysses S. Grant","Giza, Egypt",31.1342,29.9792,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
1006,loring_egypt2.jpg,,,Houghton Mifflin Co.,unknown,,1870,William Wing Loring standing in his Egyptian military uniform,,image/jpg,,photograph,William Wing Loring,"Cairo, Egypt",,,,,,,,,https://garystockbridge617.getarchive.net/amp/media/general-w-w-loring-in-cairo-42b575,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
